Label,Number of reference states at threshold,Unclassified probability at threshold,Memory usage at threshold (GB),Reference finding time at threshold (hours),P(sys=0) estimate at threshold
Graph 1; 1 OD; BRC,66,1.0204431314941864e-05,2.2367286682128906,1.0867956766155031,0.0025053990906574583
Graph 1; 1 OD; TSUM,49,1e-05,0.8137664794921871,0.003342156139616332,0.0024349999999999433
Graph 1; Global; TSUM,8680,5e-05,0.9096221923828121,17.195986192121637,0.0024949999999999833
Graph 2; 1 OD; BRC,385,0.0021981552096899115,20.74398422241211,296.28319203323787,0.15106989093910764
Graph 2; 1 OD; TSUM,288,1e-05,0.861286163330078,0.05707855113885468,0.15038499999999996
Graph 2; Global; TSUM,10010,0.06401000000000001,0.34564208984375,247.28676048965866,0.572995
